# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_5 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2)
2.369,0.072062,0.01
2.375,0.075998,0.01
2.385,0.07278,0.01
2.397,0.070246,0.01
2.404,0.074247,0.01
2.416,0.071862,0.01
2.423,0.070431,0.01
2.433,0.070654,0.01
2.439,0.0714,0.01
2.448,0.074355,0.01
2.454,0.076066,0.01
2.464,0.069839,0.01
2.47,0.071242,0.01
2.48,0.072096,0.01
2.486,0.071536,0.01
2.495,0.068837,0.01
2.501,0.071801,0.01
2.51,0.070214,0.01
2.523,0.07451,0.01
2.53,0.070997,0.01
2.542,0.076423,0.01
2.553,0.072398,0.01
2.559,0.069658,0.01
2.569,0.070539,0.01
2.575,0.075424,0.01
2.584,0.073377,0.01
2.59,0.071038,0.01
2.6,0.073186,0.01
2.606,0.074383,0.01
2.616,0.072367,0.01
2.622,0.070351,0.01
2.631,0.069959,0.01
2.637,0.074226,0.01
2.647,0.071131,0.01
2.653,0.074199,0.01
2.662,0.073372,0.01
2.668,0.071291,0.01
2.677,0.07398,0.01
2.69,0.074172,0.01
2.697,0.075325,0.01
2.708,0.073886,0.01
2.72,0.07727,0.01
2.731,0.074326,0.01
2.737,0.073913,0.01
2.746,0.071278,0.01
2.758,0.070442,0.01
2.765,0.075813,0.01
2.776,0.071777,0.01
2.783,0.071119,0.01
2.791,0.072312,0.01
2.797,0.072112,0.01
2.806,0.070965,0.01
2.812,0.070384,0.01
2.821,0.072849,0.01
2.827,0.071448,0.01
2.836,0.07461,0.01
2.842,0.069866,0.01
2.852,0.068785,0.01
2.858,0.074589,0.01
2.867,0.073204,0.01
2.873,0.073818,0.01
2.883,0.072434,0.01
2.889,0.067654,0.01
2.898,0.075589,0.01
2.904,0.074958,0.01
2.914,0.069279,0.01
2.92,0.068778,0.01
2.929,0.072312,0.01
2.935,0.076967,0.01
2.944,0.069286,0.01
2.956,0.070908,0.01
2.962,0.070704,0.01
2.974,0.074223,0.01
2.986,0.066893,0.01
2.997,0.073075,0.01
3.003,0.072289,0
3.012,0.069303,0
3.018,0.07485,0
3.026,0.072411,0
3.033,0.072584,0
3.042,0.066442,0
3.054,0.066693,0
3.06,0.061148,0
3.072,0.06361,0
3.084,0.056569,0
3.094,0.057521,0
3.101,0.055788,0
3.11,0.055016,0
3.117,0.057667,0
3.125,0.058549,0
3.131,0.058149,0
3.14,0.060656,0
3.146,0.065508,0
3.155,0.058325,0
3.161,0.057425,0
3.17,0.062468,0
3.176,0.062459,0
3.186,0.059259,0
3.192,0.056326,0
3.202,0.058345,0
3.208,0.064032,0
3.217,0.05929,0
3.223,0.065147,0
3.233,0.058066,0
3.239,0.056558,0
3.248,0.062706,0
3.254,0.065215,0
3.264,0.057279,0
3.27,0.053489,0
