# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_7 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2) 
2.324,0.015625,0.01
2.334,0.015222,0.01
2.34,0.035734,0.01
2.349,0.018243,0.01
2.355,0.042146,0.01
2.365,0.028942,0.01
2.371,0.019887,0.01
2.38,0.030536,0.01
2.386,0.016758,0.01
2.396,0.022114,0.01
2.402,0.020011,0.01
2.411,0.014686,0.01
2.417,0.039831,0.01
2.426,0.017627,0.01
2.433,0.033569,0.01
2.441,0.028721,0.01
2.451,0.015549,0.01
2.457,0.04498,0.01
2.467,0.017155,0.01
2.473,0.038802,0.01
2.483,0.026698,0.01
2.489,0.017259,0.01
2.499,0.046627,0.01
2.505,0.016356,0.01
2.513,0.019953,0.01
2.519,0.037694,0.01
2.528,0.015407,0.01
2.534,0.031315,0.01
2.543,0.041668,0.01
2.549,0.01663,0.01
2.558,0.049435,0.01
2.564,0.013842,0.01
2.573,0.014332,0.01
2.579,0.030124,0.01
2.588,0.018762,0.01
2.594,0.037605,0.01
2.603,0.041862,0.01
2.609,0.017408,0.01
2.618,0.045302,0.01
2.624,0.017739,0.01
2.634,0.014259,0.01
2.64,0.030715,0.01
2.649,0.016721,0.01
2.655,0.042443,0.01
2.664,0.016952,0.01
2.67,0.016974,0.01
2.68,0.043109,0.01
2.686,0.018698,0.01
2.696,0.021827,0.01
2.701,0.020191,0.01
2.711,0.015171,0.01
2.717,0.04891,0.01
2.725,0.015057,0.01
2.731,0.023023,0.01
2.74,0.043171,0.01
2.746,0.016169,0.01
2.755,0.022885,0.01
2.761,0.024455,0.01
2.77,0.01928,0.01
2.776,0.046969,0.01
2.785,0.024637,0.01
2.791,0.024217,0.01
2.801,0.047188,0.01
2.807,0.015877,0.01
2.817,0.030214,0.01
2.823,0.016594,0.01
2.833,0.01369,0.01
2.839,0.031982,0.01
2.848,0.020322,0.01
2.854,0.027664,0.01
2.863,0.034396,0.01
